GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Esri Geometry API for Java,com.esri.core.geometry,ClassicSort,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,JsonGeometryException,5,4,0,0,2,2,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,Line,721,1654,124,230,162,331,97,131,16,34
Esri Geometry API for Java,com.esri.core.geometry,Point2D,1243,680,78,48,249,136,66,58,22,38
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfInt32.RandomSeed,0,6,0,0,0,3,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorShapePreservingDensify,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,StridedIndexTypeCollection,192,578,24,40,31,98,21,32,3,18
Esri Geometry API for Java,com.esri.core.geometry,IntervalTreeImpl.EndPointsComparer,0,34,0,8,0,8,0,6,0,2
Esri Geometry API for Java,com.esri.core.geometry,JsonWriter,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,SegmentIntersector,140,775,25,79,41,191,22,46,2,14
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyOGC,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,EditShape.EditShapeBucketSortHelper,0,18,0,0,0,6,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,MultiVertexGeometry,19,12,0,0,6,4,3,2,3,2
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfFloat,1397,0,220,0,299,0,146,0,36,0
Esri Geometry API for Java,com.esri.core.geometry,JsonReaderCursor,3,0,0,0,1,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,SimpleRasterizer.Edge,2,3,0,0,1,1,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,QuadTree.QuadTreeIterator,9,50,1,5,2,14,2,6,1,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeneralize,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorIntersectsLocal,1,20,1,1,0,4,1,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,TopologicalOperations.CompareCuts,0,40,0,4,0,12,0,4,0,2
Esri Geometry API for Java,com.esri.core.geometry,TopologicalOperations,1031,4018,234,452,218,1007,176,224,9,47
Esri Geometry API for Java,com.esri.core.geometry,MathUtils.KahanSummator,83,45,0,0,22,14,7,4,7,4
Esri Geometry API for Java,com.esri.core.geometry,OGCStructureInternal,7,55,1,3,0,11,2,3,1,2
Esri Geometry API for Java,com.esri.core.geometry,MultiPointImpl,207,481,27,37,48,105,34,27,11,18
Esri Geometry API for Java,com.esri.core.geometry,MapOGCStructure,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,MultiPathImpl,2455,3340,340,390,518,788,274,206,27,86
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeneralizeCursor,27,360,8,44,8,91,8,24,0,6
Esri Geometry API for Java,com.esri.core.geometry,Segment,467,876,55,79,108,215,64,71,25,43
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromGeoJsonLocal.GeoJsonType,6,50,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,IndexHashTable.HashFunction,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,RelationalOperations,1397,8987,436,1225,365,2152,350,640,2,118
Esri Geometry API for Java,com.esri.core.geometry,BucketSort,17,328,4,30,3,71,4,19,0,6
Esri Geometry API for Java,com.esri.core.geometry,OperatorIntersectionCursor,376,1309,98,197,85,326,73,89,2,12
Esri Geometry API for Java,com.esri.core.geometry,GeometrySerializer.MultiPathData,6,0,0,0,2,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorDensifyByLengthCursor,93,168,15,21,24,49,13,12,3,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorInternalRelationUtils,1143,42,202,8,322,17,146,3,31,1
Esri Geometry API for Java,com.esri.core.geometry,RingOrientationFixer.RingOrientationTestComparator,22,193,5,15,3,44,5,9,0,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorUnionCursor.Geom_pair,0,10,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,Geometry,90,255,13,31,26,75,17,39,9,25
Esri Geometry API for Java,com.esri.core.geometry,RasterizedGeometry2DImpl.ScanCallbackImpl,1,86,2,6,0,19,2,6,0,4
Esri Geometry API for Java,com.esri.core.geometry,NumberUtils,75,180,19,7,11,29,20,18,9,16
Esri Geometry API for Java,com.esri.core.geometry,Cutter.CutterVertexComparer,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Clusterer.ClusterCandidate,3,0,0,0,1,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,RingOrientationFixer,31,1245,10,112,8,286,10,60,0,9
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromWkb,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.ClusterTestComparator,0,44,0,4,0,8,0,4,0,2
Esri Geometry API for Java,com.esri.core.geometry,TopoGraph.PlaneSweepComparator,27,236,9,33,3,45,8,17,0,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToESRIShapeCursor,539,1513,220,208,150,401,174,50,3,5
Esri Geometry API for Java,com.esri.core.geometry,Operator.Type,0,267,0,0,0,12,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorUnionCursor,109,441,30,52,24,107,24,29,2,10
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfInt16,1400,0,220,0,299,0,146,0,36,0
Esri Geometry API for Java,com.esri.core.geometry,Cutter.CutEvent,0,30,0,0,0,11,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,ConstructOffset.IntersectionInfo,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,PlaneSweepCrackerHelper.SimplifySweepComparator,4,60,1,3,0,16,1,4,0,3
Esri Geometry API for Java,com.esri.core.geometry,Boundary.MultiPathImplBoundarySorter,9,16,0,0,1,5,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorDensifyByLength,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorEquals,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,SegmentIntersector.IntersectionPart,0,21,0,0,0,8,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorContains,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,PeDouble,6,6,0,0,3,3,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorOffsetLocal,0,32,0,0,0,5,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,QuadTreeImpl.Data,0,33,0,0,0,10,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Clipper,629,2863,150,426,111,636,116,193,1,15
Esri Geometry API for Java,com.esri.core.geometry,MultiPoint,82,238,3,3,29,70,17,41,14,41
Esri Geometry API for Java,com.esri.core.geometry,IndexMultiList,115,400,18,32,19,92,22,30,7,20
Esri Geometry API for Java,com.esri.core.geometry,SimpleMapGeometryCursor,55,0,4,0,15,0,6,0,4,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorBuffer,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeneralizeLocal,0,26,0,0,0,5,0,3,0,3
